Id;Score;Date
3219;1;2020-03-12 16:42:51+01
3200;8;2020-03-12 16:08:31+01
3200;No terminado;2020-03-12 16:07:43+01
3200;No terminado;2020-03-12 16:05:54+01
3210;5;2020-03-12 13:37:41+01
3186;5.5;2020-03-12 13:28:26+01
3184;7.5;2020-03-12 13:07:27+01
3219;0.5;2020-03-12 12:59:48+01
3200;No terminado;2020-03-12 10:26:05+01
3221;No terminado;2020-03-12 10:19:53+01
3220;No terminado;2020-03-12 01:22:04+01
3176;5.5;2020-03-11 17:46:22+01
3192;5.5;2020-03-11 17:41:27+01
3219;0.5;2020-03-11 16:56:21+01
3200;No terminado;2020-03-11 16:03:22+01
3200;No terminado;2020-03-11 16:02:42+01
3200;No terminado;2020-03-11 16:02:33+01
3200;No terminado;2020-03-11 15:59:47+01
3204;7.5;2020-03-11 14:21:35+01
3204;No terminado;2020-03-11 14:21:31+01
3184;7.5;2020-03-11 12:25:00+01
3188;6;2020-03-08 13:16:38+01
3188;5.5;2020-03-08 12:23:44+01
3175;7.5;2020-03-07 22:17:37+01
3175;No terminado;2020-03-07 22:14:34+01
3200;7;2020-03-07 20:31:03+01
3184;No terminado;2020-03-07 20:23:02+01
3193;No terminado;2020-03-07 15:37:10+01
3209;0.5;2020-03-07 12:24:42+01
3183;No terminado;2020-03-07 10:13:21+01
3184;6.5;2020-03-07 10:06:16+01
3175;7.5;2020-03-06 23:26:54+01
3175;No terminado;2020-03-06 23:23:31+01
3175;No terminado;2020-03-06 22:59:30+01
3175;7.5;2020-03-06 22:11:49+01
3193;3.5;2020-03-06 22:00:55+01
3175;7.5;2020-03-06 21:11:29+01
3175;No terminado;2020-03-06 21:09:03+01
3175;No terminado;2020-03-06 20:37:03+01
3175;No terminado;2020-03-06 20:30:53+01
3175;No terminado;2020-03-06 20:25:44+01
3175;No terminado;2020-03-06 20:23:36+01
3175;No terminado;2020-03-06 19:32:44+01
3175;No terminado;2020-03-06 19:19:37+01
3175;6.5;2020-03-06 17:54:16+01
3231;5;2020-03-06 17:47:58+01
3175;No terminado;2020-03-06 17:44:36+01
3175;No terminado;2020-03-06 17:42:35+01
3175;No terminado;2020-03-06 17:35:18+01
3200;No terminado;2020-03-06 17:01:26+01
3175;No terminado;2020-03-06 17:01:13+01
3191;No terminado;2020-03-06 16:47:38+01
3207;No terminado;2020-03-06 15:58:58+01
3200;5;2020-03-06 15:57:41+01
3176;5.5;2020-03-06 15:56:45+01
3187;5;2020-03-06 15:56:13+01
3204;6.5;2020-03-06 15:56:05+01
3201;7.5;2020-03-06 15:55:40+01
3192;No terminado;2020-03-06 15:54:36+01
3197;7;2020-03-06 15:53:55+01
3179;8;2020-03-06 15:53:43+01
3184;6;2020-03-06 15:53:08+01
3196;5.5;2020-03-06 15:53:00+01
3195;No terminado;2020-03-06 15:52:48+01
3198;No terminado;2020-03-06 15:52:35+01
3193;No terminado;2020-03-06 15:52:33+01
3202;No terminado;2020-03-06 15:52:27+01
3212;7;2020-03-06 15:52:25+01
3186;5;2020-03-06 15:51:47+01
3259;5;2020-03-06 15:51:44+01
3215;5;2020-03-06 15:51:37+01
3182;6;2020-03-06 15:51:11+01
3279;No terminado;2020-03-06 12:05:19+01
3279;No terminado;2020-03-06 11:44:51+01
3197;No terminado;2020-03-06 11:32:49+01
3179;7;2020-03-06 10:47:33+01
3191;No terminado;2020-03-05 11:17:54+01
3248;No terminado;2020-03-04 00:27:03+01
3221;No terminado;2020-03-03 15:41:48+01
3179;6;2020-03-02 21:49:28+01
3223;3.5;2020-03-01 19:25:35+01
3211;No terminado;2020-03-01 18:12:44+01
3262;No terminado;2020-03-01 13:26:56+01
3197;No terminado;2020-03-01 13:21:07+01
3262;No terminado;2020-03-01 13:09:42+01
3262;0;2020-03-01 12:57:21+01
3262;0;2020-03-01 12:51:00+01
3188;5;2020-03-01 12:27:57+01
3188;No terminado;2020-03-01 12:27:55+01
3188;No terminado;2020-03-01 12:27:51+01
3210;5;2020-03-01 11:32:17+01
3210;No terminado;2020-03-01 11:31:08+01
3210;No terminado;2020-03-01 11:28:29+01
3262;1.5;2020-03-01 09:59:49+01
3236;5;2020-02-29 20:25:13+01
3211;5;2020-02-29 18:35:00+01
3184;5;2020-02-29 16:13:40+01
3197;No terminado;2020-02-29 15:43:02+01
3253;5;2020-02-28 23:32:18+01
3253;No terminado;2020-02-28 23:23:18+01
3253;No terminado;2020-02-28 23:07:56+01
3246;No terminado;2020-02-28 16:19:01+01
3253;5;2020-02-28 16:10:47+01
3249;4.5;2020-02-28 16:05:16+01
3280;2.5;2020-02-28 16:03:33+01
3240;4;2020-02-28 16:01:21+01
3253;No terminado;2020-02-28 16:00:26+01
3238;5;2020-02-28 15:59:10+01
3238;No terminado;2020-02-28 15:58:58+01
3241;4.5;2020-02-28 15:58:51+01
3279;No terminado;2020-02-28 15:57:55+01
3257;4.5;2020-02-28 15:57:25+01
3245;No terminado;2020-02-28 15:57:07+01
3250;2.5;2020-02-28 15:56:39+01
3256;3.5;2020-02-28 15:56:38+01
3250;No terminado;2020-02-28 15:56:34+01
3246;No terminado;2020-02-28 15:56:32+01
3252;5;2020-02-28 15:56:31+01
3242;5;2020-02-28 15:56:24+01
3217;2;2020-02-28 15:56:20+01
3232;4;2020-02-28 15:56:18+01
3224;5;2020-02-28 15:56:12+01
3255;4;2020-02-28 15:55:56+01
3261;5;2020-02-28 15:55:28+01
3239;4.5;2020-02-28 15:55:25+01
3233;4.5;2020-02-28 15:55:21+01
3239;No terminado;2020-02-28 15:55:20+01
3236;5;2020-02-28 15:55:18+01
3225;5;2020-02-28 15:55:09+01
3175;5.5;2020-02-28 15:54:47+01
3243;3;2020-02-28 15:54:39+01
3228;No terminado;2020-02-28 15:54:30+01
3223;5;2020-02-28 15:54:29+01
3218;No terminado;2020-02-28 15:54:26+01
3226;No terminado;2020-02-28 15:54:06+01
3231;5;2020-02-28 15:54:02+01
3224;No terminado;2020-02-28 15:53:59+01
3248;5;2020-02-28 15:53:56+01
3230;5;2020-02-28 15:53:50+01
3229;5;2020-02-28 15:53:46+01
3248;No terminado;2020-02-28 12:13:45+01
3248;No terminado;2020-02-26 21:13:07+01
3221;No terminado;2020-02-24 13:32:59+01
3184;5;2020-02-23 16:09:31+01
